number,value,datetime_start,datetime_complete,duration,params_adam_beta1,params_adam_beta2,params_adam_lr,params_adam_weight_decay,state
0,0.5943537461422514,2025-02-13 15:02:23.783817,2025-02-13 15:02:40.415616,0 days 00:00:16.631799,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.11590126848738347,2025-02-13 15:02:40.416138,2025-02-13 15:02:58.163230,0 days 00:00:17.747092,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.00984,2025-02-13 15:02:58.163556,2025-02-13 15:03:15.253198,0 days 00:00:17.089642,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.7488686923478369,2025-02-13 15:03:15.253649,2025-02-13 15:03:33.475633,0 days 00:00:18.221984,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.5282053952781022,2025-02-13 15:03:33.476038,2025-02-13 15:03:51.080497,0 days 00:00:17.604459,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.6910315296825938,2025-02-13 15:03:51.080927,2025-02-13 15:04:09.482717,0 days 00:00:18.401790,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.6360292747049303,2025-02-13 15:04:09.483105,2025-02-13 15:04:27.023843,0 days 00:00:17.540738,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.6827441302106836,2025-02-13 15:04:27.024199,2025-02-13 15:04:44.568618,0 days 00:00:17.544419,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.4849346518545574,2025-02-13 15:04:44.568959,2025-02-13 15:05:02.835810,0 days 00:00:18.266851,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.5518006017798986,2025-02-13 15:05:02.836208,2025-02-13 15:05:20.132224,0 days 00:00:17.296016,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.7401594271477079,2025-02-13 15:05:20.132561,2025-02-13 15:05:38.828346,0 days 00:00:18.695785,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.7764114610785218,2025-02-13 15:05:38.828769,2025-02-13 15:05:56.309552,0 days 00:00:17.480783,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.7464218618786936,2025-02-13 15:05:56.310048,2025-02-13 15:06:14.848710,0 days 00:00:18.538662,0.792537870163052,0.8395136004424871,0.008032143535638534,0.0004176377119163708,COMPLETE
13,0.7286674652214751,2025-02-13 15:06:14.849068,2025-02-13 15:06:32.064541,0 days 00:00:17.215473,0.7961519928024255,0.905868941330153,0.002482076244951997,0.0009456083373581459,COMPLETE
14,0.7677088073700786,2025-02-13 15:06:32.064968,2025-02-13 15:06:49.642272,0 days 00:00:17.577304,0.8527720276226579,0.839398387574482,0.00284506659146169,0.0008552080808052118,COMPLETE
15,0.7676641866873878,2025-02-13 15:06:49.642535,2025-02-13 15:07:07.875585,0 days 00:00:18.233050,0.8530558789787093,0.8644291919034385,0.0018768897324874729,0.0005953849260229195,COMPLETE
16,0.681790977603379,2025-02-13 15:07:07.875962,2025-02-13 15:07:25.282322,0 days 00:00:17.406360,0.8834592014431463,0.896209569743908,0.009261886668723133,0.0014540235088456059,COMPLETE
17,0.7285770774549699,2025-02-13 15:07:25.282807,2025-02-13 15:07:44.123150,0 days 00:00:18.840343,0.8186464470834577,0.8253842703158173,0.0015946970829975175,0.0006564789163843637,COMPLETE
18,0.670542455440733,2025-02-13 15:07:44.123905,2025-02-13 15:08:01.563176,0 days 00:00:17.439271,0.8351660731821715,0.9687116223320679,0.003757807233762374,0.007787666803027097,COMPLETE
19,0.7244134617686495,2025-02-13 15:08:01.563554,2025-02-13 15:08:20.120771,0 days 00:00:18.557217,0.8801192625650173,0.8516024813759943,0.0010710699176475155,0.0015976674355409311,COMPLETE
