number,value,datetime_start,datetime_complete,duration,params_lamb_beta1,params_lamb_beta2,params_lamb_lr,params_lamb_weight_decay,state
0,0.507602465292582,2025-02-07 23:21:45.852083,2025-02-07 23:22:02.659230,0 days 00:00:16.807147,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.26982232549280427,2025-02-07 23:22:02.659498,2025-02-07 23:22:19.620271,0 days 00:00:16.960773,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.6057480323618366,2025-02-07 23:22:19.620514,2025-02-07 23:22:36.164169,0 days 00:00:16.543655,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.6879661029983876,2025-02-07 23:22:36.164412,2025-02-07 23:22:53.068844,0 days 00:00:16.904432,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.38759455042381086,2025-02-07 23:22:53.069093,2025-02-07 23:23:09.983970,0 days 00:00:16.914877,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.6242606953214664,2025-02-07 23:23:09.984285,2025-02-07 23:23:26.818399,0 days 00:00:16.834114,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.4475138924636103,2025-02-07 23:23:26.818635,2025-02-07 23:23:44.075831,0 days 00:00:17.257196,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.5874999229357158,2025-02-07 23:23:44.076078,2025-02-07 23:24:00.675987,0 days 00:00:16.599909,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.061501583517699895,2025-02-07 23:24:00.676229,2025-02-07 23:24:17.411238,0 days 00:00:16.735009,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.4306209721069069,2025-02-07 23:24:17.411486,2025-02-07 23:24:34.081136,0 days 00:00:16.669650,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.7363374015249253,2025-02-07 23:24:34.081383,2025-02-07 23:24:50.622688,0 days 00:00:16.541305,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.7512798772647581,2025-02-07 23:24:50.622946,2025-02-07 23:25:07.492845,0 days 00:00:16.869899,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.7621674811100774,2025-02-07 23:25:07.493118,2025-02-07 23:25:24.399009,0 days 00:00:16.905891,0.8063546366506587,0.8880383525114988,0.008140746512814398,0.0004163247332460293,COMPLETE
13,0.7567564087903664,2025-02-07 23:25:24.399280,2025-02-07 23:25:40.973045,0 days 00:00:16.573765,0.8120544218320054,0.8994451202505948,0.008286402482680501,0.0004203951998389159,COMPLETE
14,0.6940768581351382,2025-02-07 23:25:40.973293,2025-02-07 23:25:57.620650,0 days 00:00:16.647357,0.8458439681957739,0.9103968315706588,0.0029466859743438956,0.0007766807239860468,COMPLETE
15,0.6733495054439128,2025-02-07 23:25:57.620903,2025-02-07 23:26:14.118675,0 days 00:00:16.497772,0.8002511861219973,0.9629617494525851,0.0018915141219039435,0.00811904724481791,COMPLETE
16,0.7540231794627632,2025-02-07 23:26:14.118927,2025-02-07 23:26:30.646566,0 days 00:00:16.527639,0.8818256005009133,0.8993805109329219,0.009393110610999624,0.0014424176468857495,COMPLETE
17,0.6697165361724401,2025-02-07 23:26:30.646822,2025-02-07 23:26:46.759126,0 days 00:00:16.112304,0.7794845818870726,0.8950036469609485,0.0018803677750760422,0.0006147434608309955,COMPLETE
18,0.6895472331738636,2025-02-07 23:26:46.759384,2025-02-07 23:27:02.483606,0 days 00:00:15.724222,0.8230749754984455,0.9721073769767569,0.00402815913298648,0.0013286721220588968,COMPLETE
19,0.6523629175768939,2025-02-07 23:27:02.483867,2025-02-07 23:27:17.690240,0 days 00:00:15.206373,0.8664305106994058,0.9258565534372446,0.0011951754892058875,0.0004057981029703836,COMPLETE
