number,value,datetime_start,datetime_complete,duration,params_rmsprop_alpha,params_rmsprop_lr,params_rmsprop_momentum,params_rmsprop_weight_decay,state
0,0.6033052607317149,2025-02-09 18:19:46.328615,2025-02-09 18:19:56.073279,0 days 00:00:09.744664,0.9891921469755733,0.0001329291894316216,0.6587945476302646,0.006300528199911897,COMPLETE
1,0.1155108750219348,2025-02-09 18:19:56.073596,2025-02-09 18:20:05.469158,0 days 00:00:09.395562,0.8310429095469044,2.9380279387035334e-05,0.05227525095137952,0.021597937639149734,COMPLETE
2,0.01002,2025-02-09 18:20:05.469454,2025-02-09 18:20:15.319193,0 days 00:00:09.849739,0.9409064429814131,0.0006358358856676254,0.018526044866222204,0.03482408351321943,COMPLETE
3,0.7739295505210461,2025-02-09 18:20:15.319505,2025-02-09 18:20:25.771775,0 days 00:00:10.452270,0.842255483024977,0.00314288089084011,0.16364247048639055,0.0009308270833535123,COMPLETE
4,0.6420265049248447,2025-02-09 18:20:25.772129,2025-02-09 18:20:35.424548,0 days 00:00:09.652419,0.9044265298948153,8.17949947521167e-05,0.3887505167779042,0.001529390089870074,COMPLETE
5,0.6903187751788507,2025-02-09 18:20:35.424827,2025-02-09 18:20:45.555421,0 days 00:00:10.130594,0.8277592782697564,0.000684792009557478,0.26293018368169635,0.002161641541858931,COMPLETE
6,0.6610469007040438,2025-02-09 18:20:45.555710,2025-02-09 18:20:56.760575,0 days 00:00:11.204865,0.9562500163172097,0.00023345864076016249,0.17970640394252377,0.00427099308379254,COMPLETE
7,0.7194548489698742,2025-02-09 18:20:56.760957,2025-02-09 18:21:06.806828,0 days 00:00:10.045871,0.8092436321312796,0.0005987474910461401,0.5467903667112946,0.0008772194222657475,COMPLETE
8,0.18407747903133007,2025-02-09 18:21:06.807109,2025-02-09 18:21:16.616893,0 days 00:00:09.809784,0.9888282219134134,1.5673095467235405e-05,0.8690688297671034,0.016552160450244074,COMPLETE
9,0.6665635332710778,2025-02-09 18:21:16.617225,2025-02-09 18:21:27.023257,0 days 00:00:10.406032,0.8194367506872704,8.200518402245828e-05,0.6158097238609412,0.0030364419221130786,COMPLETE
10,0.6984817746190252,2025-02-09 18:21:27.023575,2025-02-09 18:21:36.327881,0 days 00:00:09.304306,0.8723818070507046,0.0068455702672729195,0.3318558954489875,0.0004344939589574845,COMPLETE
11,0.7128330090997655,2025-02-09 18:21:36.328206,2025-02-09 18:21:46.289466,0 days 00:00:09.961260,0.8600821110344627,0.0035087629442252578,0.5611466814360654,0.0006452283655116685,COMPLETE
12,0.7569290587378503,2025-02-09 18:21:46.289799,2025-02-09 18:21:56.426981,0 days 00:00:10.137182,0.8008250843952907,0.0019276763704612454,0.4732861316537825,0.0010013865777425254,COMPLETE
13,0.7297632106461078,2025-02-09 18:21:56.427281,2025-02-09 18:22:06.948386,0 days 00:00:10.521105,0.8581554546348953,0.002482076244951997,0.18657968303096656,0.0012083511440677125,COMPLETE
14,0.7769263645730737,2025-02-09 18:22:06.948671,2025-02-09 18:22:15.983462,0 days 00:00:09.034791,0.8008272564050097,0.0019057761146699269,0.4796734843900252,0.00041424858866922034,COMPLETE
15,0.29859810209455884,2025-02-09 18:22:15.983834,2025-02-09 18:22:25.514850,0 days 00:00:09.531016,0.8876067672382895,0.008231183685069823,0.7167394141404246,0.000501155773171328,COMPLETE
16,0.7652812519856707,2025-02-09 18:22:25.515166,2025-02-09 18:22:36.161749,0 days 00:00:10.646583,0.8470344821067382,0.0012690764532532696,0.4331596436694203,0.00041853857855324734,COMPLETE
17,0.5246624483540047,2025-02-09 18:22:36.162076,2025-02-09 18:22:46.056577,0 days 00:00:09.894501,0.9024791123901676,0.00356215685608465,0.77735833933194,0.007383644834404629,COMPLETE
18,0.7090971271912666,2025-02-09 18:22:46.056961,2025-02-09 18:22:55.619576,0 days 00:00:09.562615,0.8367409031002145,0.001061746477335039,0.16400029852425788,0.0016766362575639738,COMPLETE
19,0.6724668759862827,2025-02-09 18:22:55.619912,2025-02-09 18:23:06.385937,0 days 00:00:10.766025,0.801323251793503,0.00028588326333287863,0.29072936331201926,0.00072925358595112,COMPLETE
