number,value,datetime_start,datetime_complete,duration,params_sam_lr,params_sam_momentum,params_sam_rho,params_sam_weight_decay,state
0,0.08588536928090951,2025-02-09 18:25:32.063491,2025-02-09 18:25:44.585636,0 days 00:00:12.522145,0.0013292918943162175,0.941207163345817,0.22227824312530747,0.006300528199911897,COMPLETE
1,0.035142294928284724,2025-02-09 18:25:44.585940,2025-02-09 18:25:57.294208,0 days 00:00:12.708268,0.00029380279387035364,0.15443457513284062,0.026844247528777843,0.021597937639149734,COMPLETE
2,0.01006,2025-02-09 18:25:57.294667,2025-02-09 18:26:09.034659,0 days 00:00:11.739992,0.006358358856676255,0.700991852018085,0.01596950334578271,0.03482408351321943,COMPLETE
3,0.2495264950127359,2025-02-09 18:26:09.034967,2025-02-09 18:26:20.842853,0 days 00:00:11.807886,0.03142880890840111,0.2102157195714934,0.06272924049005918,0.0009308270833535123,COMPLETE
4,0.04929566287512103,2025-02-09 18:26:20.843143,2025-02-09 18:26:32.792123,0 days 00:00:11.948980,0.0008179499475211679,0.5195088673159155,0.13526405540621358,0.001529390089870074,COMPLETE
5,0.01046,2025-02-09 18:26:32.792510,2025-02-09 18:26:44.212677,0 days 00:00:11.420167,0.006847920095574782,0.1380989220455214,0.09472194807521325,0.002161641541858931,COMPLETE
6,0.21227399020658763,2025-02-09 18:26:44.212981,2025-02-09 18:26:55.306792,0 days 00:00:11.093811,0.0023345864076016252,0.7773242017790835,0.06790539682592432,0.00427099308379254,COMPLETE
7,0.026705257906335204,2025-02-09 18:26:55.307202,2025-02-09 18:27:08.000682,0 days 00:00:12.693480,0.005987474910461402,0.04598590859279775,0.1861880070514171,0.0008772194222657475,COMPLETE
8,0.05588594450106166,2025-02-09 18:27:08.001058,2025-02-09 18:27:19.694094,0 days 00:00:11.693036,0.00015673095467235422,0.9393966818807999,0.2900332895916222,0.016552160450244074,COMPLETE
9,0.03142488752331833,2025-02-09 18:27:19.694389,2025-02-09 18:27:31.989064,0 days 00:00:12.294675,0.0008200518402245837,0.09669539286632003,0.2084275776885255,0.0030364419221130786,COMPLETE
10,0.4252223576032509,2025-02-09 18:27:31.989475,2025-02-09 18:27:43.486106,0 days 00:00:11.496631,0.06845570267272924,0.3600903968854149,0.1169313440891182,0.0004344939589574845,COMPLETE
11,0.6188585342824247,2025-02-09 18:27:43.486522,2025-02-09 18:27:55.032800,0 days 00:00:11.546278,0.07579292632211579,0.3404288686718846,0.11548715569088583,0.0004228774708207831,COMPLETE
12,0.5865804695899609,2025-02-09 18:27:55.033128,2025-02-09 18:28:07.164127,0 days 00:00:12.130999,0.08140746512814395,0.36307272511776584,0.1377194708771117,0.0004163247332460293,COMPLETE
13,0.5987052494094447,2025-02-09 18:28:07.164422,2025-02-09 18:28:18.316637,0 days 00:00:11.152215,0.082864024826805,0.38253061246098413,0.1542675581424335,0.0004203951998389159,COMPLETE
14,0.13754864995621235,2025-02-09 18:28:18.316943,2025-02-09 18:28:29.950345,0 days 00:00:11.633402,0.029498854577734355,0.4978811328062628,0.17015548351921472,0.0007766807239860468,COMPLETE
15,0.10078599434365469,2025-02-09 18:28:29.950633,2025-02-09 18:28:42.059293,0 days 00:00:12.108660,0.02368143398563295,0.32189110859304665,0.23573698401888887,0.008132601901881205,COMPLETE
16,0.29212133881174535,2025-02-09 18:28:42.059748,2025-02-09 18:28:52.725739,0 days 00:00:10.665991,0.012690764532532676,0.6216448553773539,0.09214380598736659,0.0006215719632269438,COMPLETE
17,0.21411697942827396,2025-02-09 18:28:52.726029,2025-02-09 18:29:03.780328,0 days 00:00:11.054299,0.09346852804091699,0.25505572418077094,0.26279389925389784,0.0014522518616344791,COMPLETE
18,0.26736554338555335,2025-02-09 18:29:03.780632,2025-02-09 18:29:15.386823,0 days 00:00:11.606191,0.04038106431452927,0.42015250256365927,0.16372597422985255,0.0011759809854039753,COMPLETE
19,0.4724346001510994,2025-02-09 18:29:15.387109,2025-02-09 18:29:26.866186,0 days 00:00:11.479077,0.015470504932079134,0.568159329629006,0.19158925405443783,0.00040313687251298163,COMPLETE
