number,value,datetime_start,datetime_complete,duration,params_adamw_beta1,params_adamw_beta2,params_adamw_lr,params_adamw_weight_decay,state
0,0.32870311501309313,2025-02-13 15:09:44.264229,2025-02-13 15:09:58.057581,0 days 00:00:13.793352,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.19027823003143354,2025-02-13 15:09:58.058094,2025-02-13 15:10:12.718075,0 days 00:00:14.659981,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.5375797678617615,2025-02-13 15:10:12.718535,2025-02-13 15:10:26.295119,0 days 00:00:13.576584,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.6532300114193196,2025-02-13 15:10:26.295469,2025-02-13 15:10:37.186906,0 days 00:00:10.891437,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.40670333368376727,2025-02-13 15:10:37.187392,2025-02-13 15:10:50.567504,0 days 00:00:13.380112,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.42658002448465754,2025-02-13 15:10:50.567982,2025-02-13 15:11:03.816966,0 days 00:00:13.248984,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.33630789370805775,2025-02-13 15:11:03.817310,2025-02-13 15:11:17.242917,0 days 00:00:13.425607,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.3768190818171517,2025-02-13 15:11:17.243353,2025-02-13 15:11:30.443239,0 days 00:00:13.199886,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.03787336641727944,2025-02-13 15:11:30.443588,2025-02-13 15:11:43.666546,0 days 00:00:13.222958,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.14563112784858817,2025-02-13 15:11:43.666913,2025-02-13 15:11:55.659304,0 days 00:00:11.992391,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.6516201154373183,2025-02-13 15:11:55.659761,2025-02-13 15:12:05.334832,0 days 00:00:09.675071,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.6608770067368981,2025-02-13 15:12:05.335294,2025-02-13 15:12:19.347030,0 days 00:00:14.011736,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.5645658701978793,2025-02-13 15:12:19.347420,2025-02-13 15:12:32.970912,0 days 00:00:13.623492,0.792537870163052,0.8395136004424871,0.008032143535638534,0.0004176377119163708,COMPLETE
13,0.6200177998139491,2025-02-13 15:12:32.971315,2025-02-13 15:12:46.091782,0 days 00:00:13.120467,0.7961519928024255,0.905868941330153,0.002482076244951997,0.0009456083373581459,COMPLETE
14,0.542393468332062,2025-02-13 15:12:46.092047,2025-02-13 15:12:58.788632,0 days 00:00:12.696585,0.8527720276226579,0.839398387574482,0.00284506659146169,0.0008552080808052118,COMPLETE
15,0.6201128444881382,2025-02-13 15:12:58.789339,2025-02-13 15:13:11.034917,0 days 00:00:12.245578,0.7698343018752639,0.867140922405126,0.002303054445805062,0.0005953849260229195,COMPLETE
16,0.645461733030006,2025-02-13 15:13:11.035252,2025-02-13 15:13:23.952328,0 days 00:00:12.917076,0.8226334120666466,0.8249399406908419,0.00936744025116268,0.001743908214705654,COMPLETE
17,0.5662522070762115,2025-02-13 15:13:23.952908,2025-02-13 15:13:36.944068,0 days 00:00:12.991160,0.883232197348045,0.8972327340975743,0.0012513674120818749,0.007383644834404629,COMPLETE
18,0.6606304978125267,2025-02-13 15:13:36.944407,2025-02-13 15:13:50.683742,0 days 00:00:13.739335,0.7700509305642984,0.9687116223320679,0.004007826704131316,0.001179207891303416,COMPLETE
19,0.6335074632772345,2025-02-13 15:13:50.684281,2025-02-13 15:14:03.297351,0 days 00:00:12.613070,0.7048906712268901,0.9826291569294987,0.004540328612850751,0.001198061415197695,COMPLETE
