number,value,datetime_start,datetime_complete,duration,params_adopt_beta1,params_adopt_beta2,params_adopt_lr,params_adopt_weight_decay,state
0,0.03132092198581561,2025-02-13 15:47:02.029812,2025-02-13 15:47:14.284179,0 days 00:00:12.254367,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.14073084181183176,2025-02-13 15:47:14.284579,2025-02-13 15:47:28.123719,0 days 00:00:13.839140,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.12417858204941797,2025-02-13 15:47:28.124142,2025-02-13 15:47:41.276671,0 days 00:00:13.152529,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.6482264287434283,2025-02-13 15:47:41.277016,2025-02-13 15:47:52.846053,0 days 00:00:11.569037,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.307933738474103,2025-02-13 15:47:52.846342,2025-02-13 15:48:04.572034,0 days 00:00:11.725692,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.440632882005319,2025-02-13 15:48:04.572472,2025-02-13 15:48:19.089183,0 days 00:00:14.516711,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.27631379938947426,2025-02-13 15:48:19.089562,2025-02-13 15:48:30.755654,0 days 00:00:11.666092,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.5070583589470916,2025-02-13 15:48:30.756150,2025-02-13 15:48:45.007625,0 days 00:00:14.251475,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.03686055087871004,2025-02-13 15:48:45.008057,2025-02-13 15:48:55.164811,0 days 00:00:10.156754,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.178150700133814,2025-02-13 15:48:55.165160,2025-02-13 15:49:09.140232,0 days 00:00:13.975072,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.6352066964611283,2025-02-13 15:49:09.140756,2025-02-13 15:49:22.513249,0 days 00:00:13.372493,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.6487440442414713,2025-02-13 15:49:22.513639,2025-02-13 15:49:36.300934,0 days 00:00:13.787295,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.6288571962659099,2025-02-13 15:49:36.301348,2025-02-13 15:49:49.738534,0 days 00:00:13.437186,0.792537870163052,0.8395136004424871,0.008032143535638534,0.0004176377119163708,COMPLETE
13,0.6027455092525491,2025-02-13 15:49:49.738888,2025-02-13 15:49:59.904364,0 days 00:00:10.165476,0.7961519928024255,0.905868941330153,0.002482076244951997,0.0009456083373581459,COMPLETE
14,0.593824571543706,2025-02-13 15:49:59.904731,2025-02-13 15:50:13.720899,0 days 00:00:13.816168,0.8527720276226579,0.839398387574482,0.00284506659146169,0.0008552080808052118,COMPLETE
15,0.6124846271663168,2025-02-13 15:50:13.721239,2025-02-13 15:50:27.945571,0 days 00:00:14.224332,0.7698343018752639,0.867140922405126,0.002303054445805062,0.0005953849260229195,COMPLETE
16,0.5718768435365289,2025-02-13 15:50:27.945887,2025-02-13 15:50:41.796489,0 days 00:00:13.850602,0.8226334120666466,0.8249399406908419,0.00936744025116268,0.001743908214705654,COMPLETE
17,0.17309723857996095,2025-02-13 15:50:41.796953,2025-02-13 15:50:54.999336,0 days 00:00:13.202383,0.883232197348045,0.8972327340975743,0.0012513674120818749,0.007383644834404629,COMPLETE
18,0.5552339315384416,2025-02-13 15:50:54.999711,2025-02-13 15:51:08.004031,0 days 00:00:13.004320,0.7700509305642984,0.9687116223320679,0.004007826704131316,0.001179207891303416,COMPLETE
19,0.508347993355835,2025-02-13 15:51:08.004387,2025-02-13 15:51:21.168476,0 days 00:00:13.164089,0.8275535735887455,0.8557358240526795,0.0011666559549441493,0.0007340186122275124,COMPLETE
