number,value,datetime_start,datetime_complete,duration,params_novograd_beta1,params_novograd_beta2,params_novograd_lr,params_novograd_weight_decay,state
0,0.19458924119287999,2025-02-09 18:27:46.867150,2025-02-09 18:27:52.492661,0 days 00:00:05.625511,0.9757071488588757,0.9463255889680999,0.0001329291894316216,0.006300528199911897,COMPLETE
1,0.020719504715119755,2025-02-09 18:27:52.493127,2025-02-09 18:27:58.383506,0 days 00:00:05.890379,0.7452384108974988,0.8116109140724231,2.9380279387035334e-05,0.021597937639149734,COMPLETE
2,0.1765985670579882,2025-02-09 18:27:58.383818,2025-02-09 18:28:05.190671,0 days 00:00:06.806853,0.9053410475608532,0.8041148404097309,0.0006358358856676254,0.03482408351321943,COMPLETE
3,0.24234133038507394,2025-02-09 18:28:05.191134,2025-02-09 18:28:10.805299,0 days 00:00:05.614165,0.7615783420967001,0.8363468109446994,0.00314288089084011,0.0009308270833535123,COMPLETE
4,0.02052995117303799,2025-02-09 18:28:10.805583,2025-02-09 18:28:16.758558,0 days 00:00:05.952975,0.8521793651733489,0.8863458092265589,8.17949947521167e-05,0.001529390089870074,COMPLETE
5,0.03154977544859721,2025-02-09 18:28:16.758904,2025-02-09 18:28:22.473058,0 days 00:00:05.714154,0.740453219589092,0.8583997152421902,0.000684792009557478,0.002161641541858931,COMPLETE
6,0.08486174670917318,2025-02-09 18:28:22.473402,2025-02-09 18:28:28.370184,0 days 00:00:05.896782,0.927701028803974,0.8399147890534562,0.00023345864076016249,0.00427099308379254,COMPLETE
7,0.027210743609099634,2025-02-09 18:28:28.370556,2025-02-09 18:28:34.077569,0 days 00:00:05.707013,0.7134706196887993,0.9214482158950975,0.0005987474910461401,0.0008772194222657475,COMPLETE
8,0.059412578728027333,2025-02-09 18:28:34.077863,2025-02-09 18:28:41.154122,0 days 00:00:07.076259,0.9751768058034667,0.9930298434116045,1.5673095467235405e-05,0.016552160450244074,COMPLETE
9,0.03609262429916606,2025-02-09 18:28:41.154388,2025-02-09 18:28:46.740472,0 days 00:00:05.586084,0.7283249130618513,0.9367781819997802,8.200518402245828e-05,0.0030364419221130786,COMPLETE
10,0.25663246602058587,2025-02-09 18:28:46.740765,2025-02-09 18:28:52.454232,0 days 00:00:05.713467,0.805481025350273,0.8737088816669474,0.0068455702672729195,0.0004344939589574845,COMPLETE
11,0.17694881845392785,2025-02-09 18:28:52.454607,2025-02-09 18:28:58.191684,0 days 00:00:05.737077,0.7997215877927742,0.8727133876641658,0.007579292632211577,0.0004228774708207831,COMPLETE
12,0.14942176591326678,2025-02-09 18:28:58.192045,2025-02-09 18:29:03.734372,0 days 00:00:05.542327,0.8100852305918648,0.8390880425994578,0.008032143535638534,0.00041798058977233826,COMPLETE
13,0.22636543102763743,2025-02-09 18:29:03.734657,2025-02-09 18:29:09.423206,0 days 00:00:05.688549,0.7885167749699532,0.9067139337908636,0.002482076244951997,0.0009561223628436155,COMPLETE
14,0.3049715541264083,2025-02-09 18:29:09.423610,2025-02-09 18:29:15.546039,0 days 00:00:06.122429,0.8576435742850956,0.839398387574482,0.002725527340501679,0.0007766807239860468,COMPLETE
15,0.25113022763169984,2025-02-09 18:29:15.546360,2025-02-09 18:29:21.281537,0 days 00:00:05.735177,0.8530558789787093,0.8644291919034385,0.0022751764373432296,0.000596906216778415,COMPLETE
16,0.17997532804278105,2025-02-09 18:29:21.281908,2025-02-09 18:29:27.010555,0 days 00:00:05.728647,0.8883373597072142,0.896209569743908,0.0013782511600248235,0.001474587889596347,COMPLETE
17,0.39482382772142743,2025-02-09 18:29:27.010852,2025-02-09 18:29:32.758656,0 days 00:00:05.747804,0.8323975734287792,0.8253842703158173,0.009238414131474115,0.0006564789163843637,COMPLETE
18,0.1753510920027795,2025-02-09 18:29:32.758960,2025-02-09 18:29:38.495307,0 days 00:00:05.736347,0.8765916739395521,0.8218142453002028,0.003950031167831355,0.007787666803027097,COMPLETE
19,0.36398168322542557,2025-02-09 18:29:38.495592,2025-02-09 18:29:44.186582,0 days 00:00:05.690990,0.8298747535136569,0.8264412989295915,0.0012676200730461914,0.0013963234515330669,COMPLETE
